LVal18AFC,PDate,GDate,NumberTrade,VolumeTrade,Value,ClosePrice,LastPrice,PriceMin,PriceMax,PriceFirst,PriceYesterday
????,13971225,20190316,2989,34167845,1.23762E+11,3622,3630,3555,3690,3601,3655
????,13971225,20190316,2989,34167845,1.23762E+11,3622,3630,3555,3690,3601,3655
????,13971222,20190313,4492,61277679,2.23978E+11,3655,3600,3570,3713,3620,3631
????,13971222,20190313,4492,61277679,2.23978E+11,3655,3600,3570,3713,3620,3631
????,13971221,20190312,3501,41922750,1.5223E+11,3631,3619,3522,3695,3567,3567
????,13971221,20190312,3501,41922750,1.5223E+11,3631,3619,3522,3695,3567,3567
????,13971220,20190311,5704,93465342,3.33358E+11,3567,3520,3450,3597,3450,3426
????,13971220,20190311,5704,93465342,3.33358E+11,3567,3520,3450,3597,3450,3426
????,13971219,20190310,5014,70573454,2.41784E+11,3426,3470,3251,3473,3300,3308
????,13971219,20190310,5014,70573454,2.41784E+11,3426,3470,3251,3473,3300,3308
????,13971218,20190309,1426,14820735,49021926297,3308,3307,3281,3344,3290,3333
????,13971218,20190309,1426,14820735,49021926297,3308,3307,3281,3344,3290,3333
????,13971215,20190306,1332,12140600,40461167313,3333,3340,3290,3368,3311,3304
????,13971215,20190306,1332,12140600,40461167313,3333,3340,3290,3368,3311,3304
????,13971214,20190305,1921,18395038,60773258014,3304,3310,3240,3380,3312,3391
????,13971214,20190305,1921,18395038,60773258014,3304,3310,3240,3380,3312,3391
????,13971213,20190304,2440,22644047,76775944201,3391,3347,3346,3420,3370,3331
????,13971213,20190304,2440,22644047,76775944201,3391,3347,3346,3420,3370,3331
????,13971212,20190303,3137,36679267,1.22192E+11,3331,3340,3255,3399,3270,3274
????,13971212,20190303,3137,36679267,1.22192E+11,3331,3340,3255,3399,3270,3274
????,13971211,20190302,2541,21269542,69627312970,3274,3275,3240,3340,3330,3318
????,13971211,20190302,2541,21269542,69627312970,3274,3275,3240,3340,3330,3318
????,13971208,20190227,2464,22730455,75417198427,3318,3312,3280,3360,3280,3339
????,13971208,20190227,2464,22730455,75417198427,3318,3312,3280,3360,3280,3339
????,13971207,20190226,3750,46655809,1.55804E+11,3339,3340,3276,3390,3325,3394
????,13971207,20190226,3750,46655809,1.55804E+11,3339,3340,3276,3390,3325,3394
????,13971206,20190225,5697,75457002,2.56064E+11,3394,3401,3320,3449,3350,3325
????,13971206,20190225,5697,75457002,2.56064E+11,3394,3401,3320,3449,3350,3325
????,13971205,20190224,5886,80133494,2.66421E+11,3325,3320,3220,3400,3290,3241
????,13971205,20190224,5886,80133494,2.66421E+11,3325,3320,3220,3400,3290,3241
????,13971204,20190223,6041,144324601,4.67746E+11,3241,3244,3162,3244,3200,3090
????,13971204,20190223,6041,144324601,4.67746E+11,3241,3244,3162,3244,3200,3090
????,13971201,20190220,7356,124757857,3.85502E+11,3090,3102,3002,3102,3002,2955
????,13971201,20190220,7356,124757857,3.85502E+11,3090,3102,3002,3102,3002,2955
????,13971130,20190219,5601,89298728,2.6386E+11,2955,2960,2830,2969,2830,2828
????,13971130,20190219,5601,89298728,2.6386E+11,2955,2960,2830,2969,2830,2828
????,13971129,20190218,1825,21545360,60924582274,2828,2806,2770,2849,2770,2759
????,13971129,20190218,1825,21545360,60924582274,2828,2806,2770,2849,2770,2759
????,13971128,20190217,1140,11815466,32599674553,2759,2762,2740,2800,2789,2784
????,13971128,20190217,1140,11815466,32599674553,2759,2762,2740,2800,2789,2784
????,13971127,20190216,2052,27874524,77601065670,2784,2741,2740,2839,2810,2787
????,13971127,20190216,2052,27874524,77601065670,2784,2741,2740,2839,2810,2787
????,13971124,20190213,1360,13505754,37633903424,2787,2790,2770,2820,2800,2809
????,13971124,20190213,1360,13505754,37633903424,2787,2790,2770,2820,2800,2809
????,13971123,20190212,1402,16890747,47440200887,2809,2790,2768,2846,2820,2829
????,13971123,20190212,1402,16890747,47440200887,2809,2790,2768,2846,2820,2829
????,13971121,20190210,2098,21987549,62209502125,2829,2830,2795,2854,2830,2838
????,13971121,20190210,2098,21987549,62209502125,2829,2830,2795,2854,2830,2838
????,13971117,20190206,3372,34980585,99289990913,2838,2818,2810,2897,2842,2798
????,13971117,20190206,3372,34980585,99289990913,2838,2818,2810,2897,2842,2798
????,13971116,20190205,8027,170404299,4.76707E+11,2798,2812,2689,2812,2693,2679
????,13971116,20190205,8027,170404299,4.76707E+11,2798,2812,2689,2812,2693,2679
????,13971115,20190204,1359,16744367,44854891082,2679,2682,2646,2697,2646,2657
????,13971115,20190204,1359,16744367,44854891082,2679,2682,2646,2697,2646,2657
????,13971114,20190203,1710,20130396,53488953508,2657,2650,2620,2700,2620,2688
????,13971114,20190203,1710,20130396,53488953508,2657,2650,2620,2700,2620,2688
????,13971113,20190202,1094,10413613,27993407578,2688,2650,2646,2735,2712,2697
????,13971113,20190202,1094,10413613,27993407578,2688,2650,2646,2735,2712,2697
????,13971110,20190130,1225,12871860,34711976970,2697,2703,2680,2719,2718,2693
????,13971110,20190130,1225,12871860,34711976970,2697,2703,2680,2719,2718,2693
????,13971109,20190129,1782,22203443,59800737595,2693,2679,2658,2721,2680,2661
????,13971109,20190129,1782,22203443,59800737595,2693,2679,2658,2721,2680,2661
????,13971108,20190128,1782,18216378,48473499505,2661,2661,2640,2710,2690,2714
????,13971108,20190128,1782,18216378,48473499505,2661,2661,2640,2710,2690,2714
????,13971107,20190127,1746,15506204,42090584771,2714,2704,2699,2760,2751,2750
????,13971107,20190127,1746,15506204,42090584771,2714,2704,2699,2760,2751,2750
????,13971106,20190126,2043,16167485,44462235439,2750,2749,2728,2770,2740,2718
????,13971106,20190126,2043,16167485,44462235439,2750,2749,2728,2770,2740,2718
????,13971103,20190123,2079,15463081,42023340288,2718,2707,2700,2799,2730,2739
????,13971103,20190123,2079,15463081,42023340288,2718,2707,2700,2799,2730,2739
????,13971102,20190122,1318,10756666,29464162799,2739,2735,2718,2764,2756,2743
????,13971101,20190121,1695,14097249,38666203450,2743,2719,2712,2840,2759,2779
????,13971101,20190121,1695,14097249,38666203450,2743,2719,2712,2840,2759,2779
????,13971030,20190120,1034,8066736,22417801260,2779,2759,2758,2815,2804,2803
????,13971030,20190120,1034,8066736,22417801260,2779,2759,2758,2815,2804,2803
????,13971029,20190119,1434,9407449,26368039270,2803,2770,2770,2825,2780,2762
????,13971029,20190119,1434,9407449,26368039270,2803,2770,2770,2825,2780,2762
????,13971026,20190116,1569,11280566,31155890752,2762,2754,2750,2781,2780,2789
????,13971026,20190116,1569,11280566,31155890752,2762,2754,2750,2781,2780,2789
????,13971025,20190115,1345,7177963,20016618915,2789,2772,2770,2810,2802,2801
????,13971025,20190115,1345,7177963,20016618915,2789,2772,2770,2810,2802,2801
????,13971024,20190114,1197,7396548,20716695616,2801,2786,2770,2826,2820,2792
????,13971024,20190114,1197,7396548,20716695616,2801,2786,2770,2826,2820,2792
????,13971023,20190113,1461,9170035,25603649006,2792,2795,2761,2826,2815,2827
????,13971023,20190113,1461,9170035,25603649006,2792,2795,2761,2826,2815,2827
????,13971022,20190112,1512,13641241,38560163824,2827,2800,2796,2855,2850,2835
????,13971022,20190112,1512,13641241,38560163824,2827,2800,2796,2855,2850,2835
????,13971019,20190109,1650,14019377,39739753171,2835,2824,2798,2860,2820,2805
????,13971019,20190109,1650,14019377,39739753171,2835,2824,2798,2860,2820,2805
????,13971018,20190108,2524,20831910,58423341148,2805,2799,2735,2860,2750,2727
????,13971018,20190108,2524,20831910,58423341148,2805,2799,2735,2860,2750,2727
????,13971017,20190107,1825,17836431,48646352220,2727,2725,2681,2750,2693,2692
????,13971017,20190107,1825,17836431,48646352220,2727,2725,2681,2750,2693,2692
????,13971016,20190106,1860,16628456,44766275892,2692,2687,2675,2739,2701,2741
????,13971016,20190106,1860,16628456,44766275892,2692,2687,2675,2739,2701,2741
????,13971015,20190105,2222,19071226,52267650551,2741,2700,2691,2788,2771,2803
????,13971015,20190105,2222,19071226,52267650551,2741,2700,2691,2788,2771,2803
????,13971012,20190102,1957,17652503,49475298160,2803,2788,2755,2870,2850,2860
????,13971012,20190102,1957,17652503,49475298160,2803,2788,2755,2870,2850,2860
????,13971011,20190101,1394,10014634,28644952287,2860,2833,2800,2898,2890,2890
????,13971011,20190101,1394,10014634,28644952287,2860,2833,2800,2898,2890,2890
