LVal18AFC,PDate,GDate,NumberTrade,VolumeTrade,Value,ClosePrice,LastPrice,PriceMin,PriceMax,PriceFirst,PriceYesterday
?????,13971225,20190316,1778,19875476,53810045521,2707,2700,2670,2744,2698,2694
?????,13971222,20190313,1775,14621336,39388951598,2694,2660,2656,2739,2681,2662
?????,13971222,20190313,1775,14621336,39388951598,2694,2660,2656,2739,2681,2662
?????,13971221,20190312,1036,8412001,22390915375,2662,2650,2642,2695,2681,2674
?????,13971221,20190312,1036,8412001,22390915375,2662,2650,2642,2695,2681,2674
?????,13971220,20190311,1427,12198070,32612727825,2674,2660,2652,2729,2729,2717
?????,13971220,20190311,1427,12198070,32612727825,2674,2660,2652,2729,2729,2717
?????,13971219,20190310,1329,12803356,34792115193,2717,2690,2681,2755,2710,2708
?????,13971219,20190310,1329,12803356,34792115193,2717,2690,2681,2755,2710,2708
?????,13971218,20190309,1463,13503048,36560613551,2708,2715,2655,2759,2717,2680
?????,13971218,20190309,1463,13503048,36560613551,2708,2715,2655,2759,2717,2680
?????,13971215,20190306,1464,13870133,37166946917,2680,2688,2633,2715,2633,2662
?????,13971215,20190306,1464,13870133,37166946917,2680,2688,2633,2715,2633,2662
?????,13971214,20190305,1233,9501681,25297348517,2662,2649,2635,2718,2700,2708
?????,13971214,20190305,1233,9501681,25297348517,2662,2649,2635,2718,2700,2708
?????,13971213,20190304,1408,14654458,39690647960,2708,2685,2675,2758,2675,2693
?????,13971213,20190304,1408,14654458,39690647960,2708,2685,2675,2758,2675,2693
?????,13971212,20190303,1174,9563987,25754116819,2693,2677,2674,2720,2684,2690
?????,13971212,20190303,1174,9563987,25754116819,2693,2677,2674,2720,2684,2690
?????,13971211,20190302,1541,12015875,32323398471,2690,2680,2670,2762,2749,2717
?????,13971211,20190302,1541,12015875,32323398471,2690,2680,2670,2762,2749,2717
?????,13971208,20190227,1297,10939567,29723256457,2717,2714,2693,2750,2726,2722
?????,13971208,20190227,1297,10939567,29723256457,2717,2714,2693,2750,2726,2722
?????,13971207,20190226,1299,10709550,29154473392,2722,2702,2701,2768,2735,2815
?????,13971207,20190226,1299,10709550,29154473392,2722,2702,2701,2768,2735,2815
?????,13971206,20190225,1708,14043226,39530437060,2815,2773,2760,2869,2802,2855
?????,13971206,20190225,1708,14043226,39530437060,2815,2773,2760,2869,2802,2855
?????,13971205,20190224,1876,19232442,54907157148,2855,2828,2802,2920,2900,2818
?????,13971205,20190224,1876,19232442,54907157148,2855,2828,2802,2920,2900,2818
?????,13971204,20190223,2477,24201891,68211787471,2818,2850,2750,2883,2775,2694
?????,13971204,20190223,2477,24201891,68211787471,2818,2850,2750,2883,2775,2694
?????,13971201,20190220,1691,16378604,44130313483,2694,2700,2635,2785,2785,2769
