LVal18AFC,PDate,GDate,NumberTrade,VolumeTrade,Value,ClosePrice,LastPrice,PriceMin,PriceMax,PriceFirst,PriceYesterday
?????,13971225,20190316,1443,10214244,59912010474,5866,5904,5760,5904,5810,5623
?????,13971222,20190313,2501,18049883,1.02E+11,5623,5730,5402,5750,5510,5543
?????,13971222,20190313,2501,18049883,1.02E+11,5623,5730,5402,5750,5510,5543
?????,13971221,20190312,1233,7372327,40868193543,5543,5520,5502,5640,5640,5588
?????,13971221,20190312,1233,7372327,40868193543,5543,5520,5502,5640,5640,5588
?????,13971220,20190311,1828,11678982,65263054687,5588,5601,5455,5618,5470,5450
?????,13971220,20190311,1828,11678982,65263054687,5588,5601,5455,5618,5470,5450
?????,13971219,20190310,1495,9917151,54044102143,5450,5477,5341,5508,5341,5352
?????,13971219,20190310,1495,9917151,54044102143,5450,5477,5341,5508,5341,5352
?????,13971218,20190309,980,7880886,42182440576,5352,5356,5326,5387,5380,5341
?????,13971218,20190309,980,7880886,42182440576,5352,5356,5326,5387,5380,5341
?????,13971215,20190306,921,6884886,36772521580,5341,5380,5310,5385,5376,5345
?????,13971215,20190306,921,6884886,36772521580,5341,5380,5310,5385,5376,5345
?????,13971214,20190305,1187,9306810,49743646884,5345,5360,5309,5401,5401,5421
?????,13971214,20190305,1187,9306810,49743646884,5345,5360,5309,5401,5401,5421
?????,13971213,20190304,2038,14576612,79022955632,5421,5380,5332,5498,5332,5313
?????,13971213,20190304,2038,14576612,79022955632,5421,5380,5332,5498,5332,5313
?????,13971212,20190303,1083,7384554,39231348652,5313,5318,5285,5385,5285,5307
?????,13971212,20190303,1083,7384554,39231348652,5313,5318,5285,5385,5285,5307
?????,13971211,20190302,1425,9463139,50221926031,5307,5339,5279,5399,5380,5313
?????,13971211,20190302,1425,9463139,50221926031,5307,5339,5279,5399,5380,5313
?????,13971208,20190227,1327,7824648,41569444836,5313,5350,5220,5400,5250,5152
?????,13971208,20190227,1327,7824648,41569444836,5313,5350,5220,5400,5250,5152
?????,13971207,20190226,1464,9380976,48328396254,5152,5201,5060,5238,5080,5287
