LVal18AFC,PDate,GDate,NumberTrade,VolumeTrade,Value,ClosePrice,LastPrice,PriceMin,PriceMax,PriceFirst,PriceYesterday
?????,13971212,20190303,1885,11151745,51840314124,4649,4658,4580,4658,4658,4437
?????,13971212,20190303,1885,11151745,51840314124,4649,4658,4580,4658,4658,4437
?????,13971211,20190302,120,911591,4044729267,4437,4437,4437,4437,4437,4226
?????,13971211,20190302,120,911591,4044729267,4437,4437,4437,4437,4437,4226
?????,13971208,20190227,341,1686391,7127003394,4226,4250,4141,4250,4180,4181
?????,13971208,20190227,341,1686391,7127003394,4226,4250,4141,4250,4180,4181
?????,13971207,20190226,417,1654864,6919099688,4181,4160,4070,4250,4100,4149
?????,13971207,20190226,417,1654864,6919099688,4181,4160,4070,4250,4100,4149
?????,13971206,20190225,354,1614284,6697449698,4149,4147,4110,4241,4241,4183
?????,13971206,20190225,354,1614284,6697449698,4149,4147,4110,4241,4241,4183
?????,13971205,20190224,436,1457381,6096377942,4183,4195,4140,4324,4324,4302
?????,13971205,20190224,436,1457381,6096377942,4183,4195,4140,4324,4324,4302
?????,13971204,20190223,671,3109863,13378119929,4302,4220,4220,4337,4250,4131
?????,13971204,20190223,671,3109863,13378119929,4302,4220,4220,4337,4250,4131
?????,13971201,20190220,504,1897875,7839709977,4131,4220,4000,4233,4060,4083
?????,13971201,20190220,504,1897875,7839709977,4131,4220,4000,4233,4060,4083
?????,13971130,20190219,359,1429437,5836823912,4083,4136,4000,4219,4218,4170
?????,13971130,20190219,359,1429437,5836823912,4083,4136,4000,4219,4218,4170
?????,13971129,20190218,336,1593993,6646617536,4170,4149,4077,4259,4150,4169
?????,13971129,20190218,336,1593993,6646617536,4170,4149,4077,4259,4150,4169
?????,13971128,20190217,376,1149672,4793216532,4169,4138,4126,4269,4210,4210
?????,13971128,20190217,376,1149672,4793216532,4169,4138,4126,4269,4210,4210
?????,13971127,20190216,458,1994220,8396311668,4210,4220,4119,4288,4119,4089
