LVal18AFC,PDate,GDate,NumberTrade,VolumeTrade,Value,ClosePrice,LastPrice,PriceMin,PriceMax,PriceFirst,PriceYesterday
?????,13971225,20190316,5881,101973790,2.96611E+11,2909,2879,2862,2970,2900,2875
?????,13971225,20190316,5881,101973790,2.96611E+11,2909,2879,2862,2970,2900,2875
?????,13971222,20190313,9556,244608362,7.03247E+11,2875,2880,2780,2880,2798,2743
?????,13971222,20190313,9556,244608362,7.03247E+11,2875,2880,2780,2880,2798,2743
?????,13971221,20190312,4373,95547351,2.62132E+11,2743,2750,2720,2771,2738,2721
?????,13971221,20190312,4373,95547351,2.62132E+11,2743,2750,2720,2771,2738,2721
?????,13971220,20190311,6237,123773573,3.36758E+11,2721,2710,2635,2757,2635,2626
?????,13971220,20190311,6237,123773573,3.36758E+11,2721,2710,2635,2757,2635,2626
?????,13971219,20190310,4555,105470222,2.76951E+11,2626,2626,2575,2668,2575,2625
?????,13971219,20190310,4555,105470222,2.76951E+11,2626,2626,2575,2668,2575,2625
?????,13971218,20190309,4391,82555191,2.16707E+11,2625,2585,2579,2670,2645,2580
?????,13971218,20190309,4391,82555191,2.16707E+11,2625,2585,2579,2670,2645,2580
?????,13971215,20190306,3805,117399791,3.02944E+11,2580,2597,2455,2597,2460,2474
?????,13971215,20190306,3805,117399791,3.02944E+11,2580,2597,2455,2597,2460,2474
?????,13971214,20190305,2835,64149389,1.58704E+11,2474,2455,2430,2548,2548,2525
?????,13971214,20190305,2835,64149389,1.58704E+11,2474,2455,2430,2548,2548,2525
?????,13971213,20190304,2666,52776887,1.33272E+11,2525,2488,2472,2589,2589,2594
?????,13971213,20190304,2666,52776887,1.33272E+11,2525,2488,2472,2589,2589,2594
?????,13971212,20190303,2490,48625001,1.26143E+11,2594,2568,2559,2645,2630,2610
?????,13971212,20190303,2490,48625001,1.26143E+11,2594,2568,2559,2645,2630,2610
?????,13971211,20190302,3007,54189461,1.41448E+11,2610,2628,2560,2671,2650,2632
?????,13971211,20190302,3007,54189461,1.41448E+11,2610,2628,2560,2671,2650,2632
